feature,level,mean_dropout_rate,count
studyType,INTERVENTIONAL,0.19021359944163257,1820
studyType,OBSERVATIONAL,0.12692608428286484,61
phases,EARLY_PHASE1,0.3103352352619979,12
phases,PHASE3,0.2414667322540044,290
phases,PHASE4,0.2143356469613089,324
phases,PHASE2; PHASE3,0.19775692094737735,45
phases,PHASE2,0.18894586622123302,295
phases,PHASE1; PHASE2,0.11382844645966653,40
phases,PHASE1,0.0926134940683007,52
allocation,NON_RANDOMIZED,0.20139466957273233,98
allocation,RANDOMIZED,0.1795613571882854,1402
interventionModel,SINGLE_GROUP,0.2326389494340784,373
interventionModel,PARALLEL,0.18500030891372166,1314
interventionModel,FACTORIAL,0.18298902910511872,22
interventionModel,CROSSOVER,0.08695747354805883,99
primaryPurpose,TREATMENT,0.19889031277226307,1398
primaryPurpose,HEALTH_SERVICES_RESEARCH,0.1803208370465433,71
primaryPurpose,PREVENTION,0.17986154559603118,85
primaryPurpose,SUPPORTIVE_CARE,0.17441718915899007,80
primaryPurpose,OTHER,0.1402969596849993,75
primaryPurpose,DIAGNOSTIC,0.14028722979811492,19
primaryPurpose,BASIC_SCIENCE,0.1207001581803042,71
masking,NONE,0.2064130225715844,646
masking,QUADRUPLE,0.19385564880040218,400
masking,TRIPLE,0.19276217261483833,226
masking,DOUBLE,0.17937552438677173,291
masking,SINGLE,0.1538566158554974,257
sex,ALL,0.19288871683209768,1689
sex,FEMALE,0.155034624213593,173
sex,MALE,0.06953733719270806,19
leadSponsorClass,FED,0.2222821548794933,96
leadSponsorClass,INDUSTRY,0.21147808235847226,456
leadSponsorClass,OTHER,0.17906464743128067,1279
leadSponsorClass,NIH,0.15350998798506563,39
