,importance
text_arm_group_labels_text__double,0.07237429391988179
text_arm_group_labels_text__blind,0.06286258666192035
text_arm_group_labels_text__double blind,0.05669586584916206
cat__interventionModel_SEQUENTIAL,0.03692168993284783
text_keyword_text__mdd,0.02855434283246272
text_group_title_1__blind,0.023721799755414025
text_condition_text__mental,0.023399166939362063
text_brief_summary_text__mdd,0.01892449404135828
text_brief_summary_text__efficacy,0.018915155180541487
text_brief_summary_text__major depressive,0.01842565099746045
text_group_title_1__phase,0.018023557156024057
text_brief_summary_text__the,0.015500744448543203
text_arm_group_labels_text__phase,0.015242748183774744
text_brief_summary_text__of,0.015110659108306116
text_brief_summary_text__with,0.014608606341315928
text_brief_summary_text__an,0.014223806909937782
cat__interventionModel_PARALLEL,0.013603711040849958
text_group_title_1__double blind,0.012681502206013535
text_brief_summary_text__depressive,0.012635069816593524
text_brief_summary_text__by,0.012551238086985812
